 STATE_11123:0 "Daxinganling"
 STATE_11265:0 "Yongji"
 STATE_11266:0 "Wenxi"
 STATE_11267:0 "Jincheng"
 STATE_11268:0 "Changzhi"
 STATE_11269:0 "Jinzhong"
 STATE_11270:0 "Yuci"
 STATE_11271:0 "Yangquan"
 STATE_11272:0 "Shouyang"
 STATE_11273:0 "Xinzhou"
 STATE_11274:0 "Dai"
 STATE_11275:0 "Fanxi"
 STATE_11276:0 "Shuozhou"
 STATE_11277:0 "Kelan"
 STATE_11278:0 "Jingle"
 STATE_11279:0 "Taiyuan"
 STATE_11280:0 "Linfen"
 STATE_11281:0 "Jiaokou"
 STATE_11282:0 "Yulin"
 STATE_11283:0 "Wubu"
 STATE_11284:0 "Yan'an"
 STATE_11285:0 "Weinan"
 STATE_11286:0 "Long"
 STATE_11287:0 "Dingbian"
 STATE_11288:0 "Jingbian"
 STATE_11289:0 "Qingyang"
 STATE_11290:0 "Uxin"
 STATE_11291:0 "Otog"
 STATE_11292:0 "Otog Front"
 STATE_11293:0 "Wuhai"
 STATE_11294:0 "Hanggin"
 STATE_11295:0 "Dalad"
 STATE_11296:0 "Kangbashi"
 STATE_11297:0 "Hohhot"
 STATE_11298:0 "Zhuozi"
 STATE_11299:0 "Jining"
 STATE_11300:0 "Qahar"
 STATE_11301:0 "Dorbod"
 STATE_11302:0 "Guyang"
 STATE_11303:0 "Wuyuan"
 STATE_11304:0 "Urad Middle"
 STATE_11305:0 "Urad Rear"
 STATE_11306:0 "Erenhot"
 STATE_11307:0 "Sonid"
 STATE_11308:0 "Xianghuang"
 STATE_11309:0 "Bayanbaoliadao"
 STATE_11310:0 "Abag"
 STATE_11311:0 "Delegeer"
 STATE_11312:0 "Daolun"
 STATE_11313:0 "Rugao"
 STATE_11314:0 "Jingjiang"
 STATE_11315:0 "Xinyi"
 STATE_11316:0 "Jianyungang"
 STATE_11317:0 "Xiangshui"
 STATE_11318:0 "Guannan"
 STATE_11319:0 "Siyang"
 STATE_11320:0 "Huaian"
 STATE_11321:0 "Dafeng"
 STATE_11322:0 "Jianhu"
 STATE_11323:0 "Dongtai"
 STATE_11324:0 "Yangzhou"
 STATE_11325:0 "Jinhu"
 STATE_11326:0 "Tianchang"
 STATE_11327:0 "Luhe"
 STATE_11328:0 "Xuyi"
 STATE_11329:0 "Sihong"
 STATE_11330:0 "Wuhe"
 STATE_11331:0 "Xuzhou"
 STATE_11332:0 "Zaozhuang"
 STATE_11333:0 "Huaibei"
 STATE_11334:0 "Feng"
 STATE_11335:0 "Chaganbulage"
 STATE_11336:0 "Bayan Nur"
 STATE_11337:0 "Alxa"
 STATE_11338:0 "Ekenhudugezhen"
 STATE_11339:0 "West Alxa"
 STATE_11340:0 "Ejin"
 STATE_11341:0 "South Ejin"
 STATE_11342:0 "Juyan"
 STATE_11343:0 "Zhenjiang"
 STATE_11344:0 "Shuancheng"
 STATE_11345:0 "Huzhou"
 STATE_11346:0 "Taicang"
 STATE_11347:0 "Jiashing"
 STATE_11348:0 "Suchow"
 STATE_11349:0 "Yuyao"
 STATE_11350:0 "Shaoshing"
 STATE_11351:0 "Shangyu"
 STATE_11352:0 "Taizhou"
 STATE_11353:0 "Wenling"
 STATE_11354:0 "Yueqing"
 STATE_11355:0 "Wenzhou"
 STATE_11356:0 "Ruian"
 STATE_11357:0 "Wencheng"
 STATE_11358:0 "Chingyuan"
 STATE_11359:0 "Lishui"
 STATE_11360:0 "Tiantai"
 STATE_11361:0 "Jinhua"
 STATE_11362:0 "Wucheng"
 STATE_11363:0 "Chuchow"
 STATE_11364:0 "Chunan"
 STATE_11365:0 "Jiande"
 STATE_11366:0 "Longquan"
 STATE_11367:0 "Linan"
 STATE_11368:0 "Kaihua"
 STATE_11369:0 "Jingdezhen"
 STATE_11370:0 "Dongzhi"
 STATE_11371:0 "Chichow"
 STATE_11372:0 "Sheshian"
 STATE_11373:0 "Wuhu"
 STATE_11374:0 "Tongling"
 STATE_11375:0 "Shuancheng"
 STATE_11376:0 "Ningguo"
 STATE_11377:0 "Gantangchen"
 STATE_11378:0 "Gushi"
 STATE_11379:0 "Anqing"
 STATE_11380:0 "Wangjiang"
 STATE_11381:0 "Tongling"
 STATE_11382:0 "Chaohu"
 STATE_11383:0 "Chuchow"
 STATE_11384:0 "Mingguang"
 STATE_11385:0 "Dingyuan"
 STATE_11386:0 "Lu'an"
 STATE_11387:0 "Huoshan"
 STATE_11388:0 "Shucheng"
 STATE_11389:0 "Bengbu"
 STATE_11390:0 "Suzhou"
 STATE_11391:0 "Huainan"
 STATE_11392:0 "Bochow"
 STATE_11393:0 "Fuyang"
 STATE_11394:0 "Lishin"
 STATE_11395:0 "Ningde"
 STATE_11396:0 "Luoyuan"
 STATE_11397:0 "Putian"
 STATE_11398:0 "Quanchow"
 STATE_11399:0 "Changchow"
 STATE_11400:0 "Chow'an"
 STATE_11401:0 "Shanghang"
 STATE_11402:0 "Jinshanchen"
 STATE_11403:0 "Longyan"
 STATE_11404:0 "Changping"
 STATE_11405:0 "Liancheng"
 STATE_11406:0 "Anxi"
 STATE_11407:0 "Minhou"
 STATE_11408:0 "Yongan"
 STATE_11409:0 "Sanming"
 STATE_11410:0 "Mingxi"
 STATE_11411:0 "Shunchang"
 STATE_11412:0 "Fu'an"
 STATE_11413:0 "Shaowu"
 STATE_11414:0 "Chenghe"
 STATE_11415:0 "Jianyang"
 STATE_11416:0 "Shinyang"
 STATE_11417:0 "Puyang"
 STATE_11418:0 "Hebi"
 STATE_11419:0 "Jiaozuo"
 STATE_11420:0 "Yongcheng"
 STATE_11421:0 "Shiayi"
 STATE_11422:0 "Shangchiu"
 STATE_11423:0 "Luoyang"
 STATE_11424:0 "Sanmenshia"
 STATE_11425:0 "Lingbao"
 STATE_11426:0 "Pingdinshan"
 STATE_11427:0 "Shuchang"
 STATE_11428:0 "Kaifeng"
 STATE_11429:0 "Chowkou"
 STATE_11430:0 "Taikang"
 STATE_11431:0 "Zhumadian"
 STATE_11432:0 "Shi"
 STATE_11433:0 "Huangchuan"
 STATE_11434:0 "Luohe"
 STATE_11435:0 "Nanyang"
 STATE_11436:0 "Neishiang"
 STATE_11437:0 "Shipingshen"
 STATE_11438:0 "Lushi"
 STATE_11439:0 "Shiatangshen"
 STATE_11440:0 "Linshiang"
 STATE_11441:0 "Huangshi"
 STATE_11442:0 "Huangmei"
 STATE_11443:0 "Tuanfeng"
 STATE_11444:0 "Suichow"
 STATE_11445:0 "Shiaogan"
 STATE_11446:0 "Guangshui"
 STATE_11447:0 "Tianmen"
 STATE_11448:0 "Zhongshiang"
 STATE_11449:0 "Honghu"
 STATE_11450:0 "Chianjiang"
 STATE_11451:0 "Jingmen"
 STATE_11452:0 "Jingchow"
 STATE_11453:0 "Shiyan"
 STATE_11454:0 "Laohekou"
 STATE_11455:0 "Chushan"
 STATE_11456:0 "Yichang"
 STATE_11457:0 "Dayong"
 STATE_11458:0 "Shishou"
 STATE_11459:0 "Shimen"
 STATE_11460:0 "Sangchi"
 STATE_11461:0 "Enshi"
 STATE_11462:0 "Changyang"
 STATE_11463:0 "Shanfeng"
 STATE_11464:0 "Miao"
 STATE_11465:0 "Huaihua"
 STATE_11466:0 "Shangrao"
 STATE_11467:0 "Yanshan"
 STATE_11468:0 "Yingtan"
 STATE_11469:0 "Wannian"
 STATE_11470:0 "Longnan"
 STATE_11471:0 "Anyuan"
 STATE_11472:0 "Ganchow"
 STATE_11473:0 "Nanshiong"
 STATE_11474:0 "Rucheng"
 STATE_11475:0 "Ji'an"
 STATE_11476:0 "Shingguo"
 STATE_11477:0 "Yudu"
 STATE_11478:0 "Guangze"
 STATE_11479:0 "Ruijin"
 STATE_11480:0 "Ningdu"
 STATE_11481:0 "Nancheng"
 STATE_11482:0 "Yongfeng"
 STATE_11483:0 "Fuchow"
 STATE_11484:0 "Fengcheng"
 STATE_11485:0 "Jiujiang"
 STATE_11486:0 "Pingshiang"
 STATE_11487:0 "Yichun"
 STATE_11488:0 "Shinyu"
 STATE_11489:0 "Shiushui"
 STATE_11490:0 "Tonggu"
 STATE_11491:0 "Yueyang"
 STATE_11492:0 "Guidong"
 STATE_11493:0 "Hengyang"
 STATE_11494:0 "Yiyang"
 STATE_11495:0 "Chuchow"
 STATE_11496:0 "Shiangtan"
 STATE_11497:0 "Liuyang"
 STATE_11498:0 "Leiyang"
 STATE_11499:0 "Chaling"
 STATE_11500:0 "Chenchow"
 STATE_11501:0 "Dao"
 STATE_11502:0 "Yongchow"
 STATE_11503:0 "Changning"
 STATE_11504:0 "Anhua"
 STATE_11505:0 "Loudi"
 STATE_11506:0 "Shaoyang"
 STATE_11507:0 "Dong'an"
 STATE_11508:0 "Liping"
 STATE_11509:0 "Wugang"
 STATE_11510:0 "Shingyi"
 STATE_11511:0 "Anshun"
 STATE_11512:0 "Wangmo"
 STATE_11513:0 "Shuanwei"
 STATE_11514:0 "Bijie"
 STATE_11515:0 "Sansui"
 STATE_11516:0 "Pingtang"
 STATE_11517:0 "Tongren"
 STATE_11518:0 "Chishui"
 STATE_11519:0 "Tongzi"
 STATE_11520:0 "Yanhe"
 STATE_11521:0 "Chongshan"
 STATE_11522:0 "Huichow"
 STATE_11523:0 "Tungkuan"
 STATE_11524:0 "Shantow"
 STATE_11525:0 "Taipo"
 STATE_11526:0 "Lukfung"
 STATE_11527:0 "Meichow"
 STATE_11528:0 "Swabue"
 STATE_11529:0 "Kityang"
 STATE_11530:0 "Zijin"
 STATE_11531:0 "Hoyun"
 STATE_11532:0 "Tsengshing"
 STATE_11533:0 "Tsungfa"
 STATE_11534:0 "Yingtak"
 STATE_11535:0 "Linshan"
 STATE_11536:0 "Sunfung"
 STATE_11537:0 "Lian"
 STATE_11538:0 "Waitsap"
 STATE_11539:0 "Shiuhing"
 STATE_11540:0 "Mowming"
 STATE_11541:0 "Kongmoon"
 STATE_11542:0 "Wanfow"
 STATE_11543:0 "Yeungchun"
 STATE_11544:0 "Loting"
 STATE_11545:0 "Limkong"
 STATE_11546:0 "Yamchow"
 STATE_11547:0 "Suikai"
 STATE_11548:0 "Wenchang"
 STATE_11549:0 "Danchow"
 STATE_11550:0 "Manning"
 STATE_11551:0 "Baisha"
 STATE_11552:0 "Yulin"
 STATE_11553:0 "Wuahow"
 STATE_11554:0 "Fengkai"
 STATE_11555:0 "Censhi"
 STATE_11556:0 "Pubei"
 STATE_11557:0 "Longsheng"
 STATE_11558:0 "Liuchow"
 STATE_11559:0 "Yanshuo"
 STATE_11560:0 "Wuchow"
 STATE_11561:0 "Chanchow"
 STATE_11562:0 "Jiucai"
 STATE_11563:0 "Guigang"
 STATE_11564:0 "Shingbin"
 STATE_11565:0 "Laibin"
 STATE_11566:0 "Hechi"
 STATE_11567:0 "Du'an"
 STATE_11568:0 "Donglan"
 STATE_11569:0 "Mashan"
 STATE_11570:0 "Baise"
 STATE_11571:0 "Pinkow"
 STATE_11572:0 "Bama"
 STATE_11573:0 "Xilin"
 STATE_11574:0 "Tsungtso"
 STATE_11575:0 "Pingsiang"
 STATE_11576:0 "Chinbei"
 STATE_11577:0 "Napo"
 STATE_11578:0 "Wenshan"
 STATE_11579:0 "Guangnan"
 STATE_11580:0 "Chiubei"
 STATE_11581:0 "Pingbian"
 STATE_11582:0 "Mengla"
 STATE_11583:0 "Gengma"
 STATE_11584:0 "Baoshan"
 STATE_11585:0 "Nujiang"
 STATE_11586:0 "Weishi"
 STATE_11587:0 "Dayao"
 STATE_11588:0 "Diching"
 STATE_11589:0 "Choshong"
 STATE_11590:0 "Chujing"
 STATE_11591:0 "Chushon"
 STATE_11592:0 "Honghe"
 STATE_11593:0 "Pu'er"
 STATE_11594:0 "Mojang"
 STATE_11595:0 "Luechung"
 STATE_11596:0 "West Honghe"
 STATE_11597:0 "Malong"
 STATE_11598:0 "Panzihua"
 STATE_11599:0 "Yanyuan"
 STATE_11600:0 "Mianning"
 STATE_11601:0 "Garze"
 STATE_11602:0 "Mabian"
 STATE_11603:0 "Ya'an"
 STATE_11604:0 "Hsiangcheng"
 STATE_11605:0 "Taocheng"
 STATE_11606:0 "Chiulung"
 STATE_11607:0 "Hsinlung"
 STATE_11608:0 "Tawu"
 STATE_11609:0 "Shihmien"
 STATE_11610:0 "Ngawa"
 STATE_11611:0 "Chinchuan"
 STATE_11612:0 "South Muli"
 STATE_11613:0 "Hsienshihchen"
 STATE_11614:0 "Takuchen"
 STATE_11615:0 "NAME NEEDED"
 STATE_11616:0 "NAME NEEDED"
 STATE_11617:0 "NAME NEEDED"
 STATE_11618:0 "NAME NEEDED"
 STATE_11619:0 "NAME NEEDED"
 STATE_11620:0 "NAME NEEDED"
 STATE_11621:0 "NAME NEEDED"
 STATE_11622:0 "NAME NEEDED"
 STATE_11623:0 "NAME NEEDED"
 STATE_11624:0 "NAME NEEDED"
 STATE_11625:0 "NAME NEEDED"
 STATE_11626:0 "NAME NEEDED"
 STATE_11627:0 "NAME NEEDED"
 STATE_11628:0 "NAME NEEDED"
 STATE_11629:0 "Chengtu"
 STATE_11630:0 "Ya'an"
 STATE_11631:0 "NAME NEEDED"
 STATE_11632:0 "NAME NEEDED"
 STATE_11633:0 "NAME NEEDED"
 STATE_11634:0 "NAME NEEDED"
 STATE_11635:0 "NAME NEEDED"
 STATE_11636:0 "NAME NEEDED"
 STATE_11637:0 "NAME NEEDED"
 STATE_11638:0 "NAME NEEDED"
 STATE_11639:0 "NAME NEEDED"
 STATE_11640:0 "NAME NEEDED"
 STATE_11641:0 "NAME NEEDED"
 STATE_11642:0 "NAME NEEDED"
 STATE_11643:0 "NAME NEEDED"
 STATE_11644:0 "NAME NEEDED"
 STATE_11645:0 "NAME NEEDED"
 STATE_11646:0 "NAME NEEDED"
 STATE_11647:0 "NAME NEEDED"
 STATE_11648:0 "NAME NEEDED"
 STATE_11649:0 "NAME NEEDED"
 STATE_11650:0 "NAME NEEDED"
 STATE_11652:0 "NAME NEEDED"
 STATE_11653:0 "NAME NEEDED"
 STATE_11654:0 "NAME NEEDED"
 STATE_11655:0 "NAME NEEDED"
 STATE_11656:0 "NAME NEEDED"
 STATE_11657:0 "NAME NEEDED"
 STATE_11658:0 "NAME NEEDED"
 STATE_11659:0 "NAME NEEDED"
 STATE_11660:0 "NAME NEEDED"
 STATE_11661:0 "NAME NEEDED"
 STATE_11662:0 "NAME NEEDED"
 STATE_11663:0 "NAME NEEDED"
 STATE_11664:0 "NAME NEEDED"
 STATE_11665:0 "NAME NEEDED"
 STATE_11666:0 "NAME NEEDED"
 STATE_11667:0 "NAME NEEDED"
 STATE_11668:0 "NAME NEEDED"
 STATE_11669:0 "NAME NEEDED"
 STATE_11670:0 "NAME NEEDED"
 STATE_11671:0 "NAME NEEDED"
 STATE_11672:0 "NAME NEEDED"
 STATE_11673:0 "NAME NEEDED"
 STATE_11674:0 "NAME NEEDED"
 STATE_11675:0 "NAME NEEDED"
 STATE_11676:0 "NAME NEEDED"
 STATE_11677:0 "NAME NEEDED"
 STATE_11678:0 "NAME NEEDED"
 STATE_11679:0 "NAME NEEDED"
 STATE_11680:0 "NAME NEEDED"
 STATE_11681:0 "NAME NEEDED"
 STATE_11682:0 "NAME NEEDED"
 STATE_11683:0 "NAME NEEDED"
 STATE_11684:0 "NAME NEEDED"
 STATE_11685:0 "NAME NEEDED"
 STATE_11686:0 "NAME NEEDED"
 STATE_11687:0 "NAME NEEDED"
 STATE_11688:0 "NAME NEEDED"
 STATE_11689:0 "NAME NEEDED"
 STATE_11690:0 "NAME NEEDED"
 STATE_11691:0 "NAME NEEDED"
 STATE_11692:0 "NAME NEEDED"
 STATE_11693:0 "NAME NEEDED"
 STATE_11694:0 "NAME NEEDED"
 STATE_11695:0 "NAME NEEDED"
 STATE_11696:0 "NAME NEEDED"
 STATE_11697:0 "NAME NEEDED"
 STATE_11698:0 "NAME NEEDED"
 STATE_11699:0 "NAME NEEDED"
 STATE_11700:0 "NAME NEEDED"
 STATE_11701:0 "NAME NEEDED"
 STATE_11702:0 "NAME NEEDED"
 STATE_11703:0 "NAME NEEDED"
 STATE_11704:0 "NAME NEEDED"
 STATE_11705:0 "NAME NEEDED"
 STATE_11706:0 "NAME NEEDED"
 STATE_11707:0 "NAME NEEDED"
 STATE_11708:0 "NAME NEEDED"
 STATE_11709:0 "NAME NEEDED"
 STATE_11710:0 "NAME NEEDED"
 STATE_11711:0 "NAME NEEDED"
 STATE_11712:0 "NAME NEEDED"
 STATE_11713:0 "NAME NEEDED"
 STATE_11714:0 "NAME NEEDED"
 STATE_11715:0 "NAME NEEDED"
 STATE_11716:0 "NAME NEEDED"
 STATE_11717:0 "NAME NEEDED"
 STATE_11718:0 "NAME NEEDED"
 STATE_11719:0 "NAME NEEDED"
 STATE_11720:0 "NAME NEEDED"
 STATE_11721:0 "NAME NEEDED"
 STATE_11722:0 "NAME NEEDED"
 STATE_11723:0 "NAME NEEDED"
 STATE_11724:0 "NAME NEEDED"
 STATE_11725:0 "NAME NEEDED"
 STATE_11726:0 "NAME NEEDED"
 STATE_11727:0 "NAME NEEDED"
 STATE_11728:0 "NAME NEEDED"
 STATE_11729:0 "NAME NEEDED"
 STATE_11730:0 "NAME NEEDED"
 STATE_11731:0 "NAME NEEDED"
 STATE_11732:0 "NAME NEEDED"
 STATE_11733:0 "NAME NEEDED"
 STATE_11734:0 "NAME NEEDED"
 STATE_11735:0 "NAME NEEDED"
 STATE_11736:0 "NAME NEEDED"
 STATE_11737:0 "NAME NEEDED"
 STATE_11738:0 "NAME NEEDED"
 STATE_11739:0 "East Muli"
 STATE_11740:0 "Amritsar"
 STATE_11741:0 "East Punjab"
 STATE_11742:0 "Sirsa"
 STATE_11743:0 "Saharanpur"
 STATE_11744:0 "East Simur"
 STATE_11745:0 "South Suket"
 STATE_11746:0 "Nakurchhe"
 STATE_11747:0 "Najibabad"
 STATE_11748:0 "Alirajpur"
 STATE_11749:0 "NameNeeded"
 STATE_11750:0 "NameNeeded"
 STATE_11751:0 "NameNeeded"
 STATE_11752:0 "NameNeeded"
 STATE_11753:0 "NameNeeded"
 STATE_11754:0 "NameNeeded"
 STATE_11755:0 "NameNeeded"
 STATE_11756:0 "NameNeeded"
 STATE_11757:0 "NameNeeded"
 STATE_11758:0 "NameNeeded"
 STATE_11759:0 "NameNeeded"
 STATE_11760:0 "NameNeeded"
 STATE_11761:0 "NameNeeded"
 STATE_11762:0 "NameNeeded"
 STATE_11763:0 "NameNeeded"
 STATE_11764:0 "NameNeeded"
 STATE_11765:0 "NameNeeded"
 STATE_11766:0 "NameNeeded"
 STATE_11767:0 "NameNeeded"
 STATE_11768:0 "NameNeeded"
 STATE_11769:0 "NameNeeded"
 STATE_11770:0 "NameNeeded"
 STATE_11771:0 "NameNeeded"
 STATE_11772:0 "NameNeeded"
 STATE_11773:0 "NameNeeded"
 STATE_11774:0 "NameNeeded"
 STATE_11775:0 "NameNeeded"
 STATE_11776:0 "NameNeeded"
 STATE_11777:0 "NameNeeded"
 STATE_11778:0 "NameNeeded"
 STATE_11779:0 "NameNeeded"
 STATE_11780:0 "NameNeeded"
 STATE_11781:0 "NameNeeded"
 STATE_11782:0 "NameNeeded"
 STATE_11783:0 "NameNeeded"
 STATE_11784:0 "NameNeeded"
 STATE_11785:0 "NameNeeded"
 STATE_11786:0 "NameNeeded"
 STATE_11787:0 "NameNeeded"
 STATE_11788:0 "NameNeeded"
 STATE_11789:0 "NameNeeded"
 STATE_11790:0 "NameNeeded"
 STATE_11791:0 "NameNeeded"
 STATE_11792:0 "NameNeeded"
 STATE_11793:0 "NameNeeded"
 STATE_11794:0 "NameNeeded"
 STATE_11795:0 "NameNeeded"
 STATE_11796:0 "NameNeeded"
 STATE_11797:0 "NameNeeded"
 STATE_11798:0 "NameNeeded"
 STATE_11799:0 "NameNeeded"
 STATE_11800:0 "NameNeeded"
 STATE_11801:0 "NameNeeded"
 STATE_11802:0 "NameNeeded"
 STATE_11803:0 "NameNeeded"
 STATE_11804:0 "NameNeeded"
 STATE_11805:0 "NameNeeded"
 STATE_11806:0 "NameNeeded"
 STATE_11807:0 "NameNeeded"
 STATE_11808:0 "NameNeeded"
 STATE_11809:0 "NameNeeded"
 STATE_11810:0 "NameNeeded"
 STATE_11811:0 "NameNeeded"
 STATE_11812:0 "NameNeeded"
 STATE_11813:0 "Yiwu"
 STATE_11814:0 "Barkol"
 STATE_11815:0 "Dunheger"
 STATE_11816:0 "Chitai"
 STATE_11817:0 "Khil"
 STATE_11818:0 "Subey"
 STATE_11819:0 "Shivee"
 STATE_11820:0 "Khuren"
 STATE_11821:0 "North Alxa"
 STATE_11822:0 "Gashuun"
 STATE_11823:0 "Sukhait"
 STATE_11824:0 "Khangi"
 STATE_11825:0 "Zamiin Uud"
 STATE_11826:0 "Urgun"
 STATE_11827:0 "Erdene"
 STATE_11828:0 "Dornod"
 STATE_11829:0 "Zhun"
 STATE_11830:0 "Buir"
 STATE_11831:0 "West Dornod"
 STATE_11832:0 "Alvand"
 STATE_11833:0 "Mahneshan"
 STATE_11834:0 "Lahijan"
 STATE_11835:0 "Esprili"
 STATE_11836:0 "Chalus"
 STATE_11837:0 "Marzanabad"
 STATE_11838:0 "Kokand"
 STATE_11839:0 "Kale"
 STATE_11840:0 "Outer Istanbul"
 STATE_11841:0 "Ivrindi"
 STATE_11842:0 "Katranci"
 STATE_11843:0 "Foca"
 STATE_11844:0 "Elmadag"
 STATE_11845:0 "Elmali"
 STATE_11846:0 "Gombe"
 STATE_11847:0 "Cavdir"
 STATE_11848:0 "Korkuteli"
 STATE_11849:0 "Outer Antalya"
 STATE_11850:0 "Sutculer"
 STATE_11851:0 "Derebucak"
 STATE_11852:0 "Tashkent"
 STATE_11853:0 "Basyayla"
 STATE_11854:0 "Ermenek"
 STATE_11855:0 "Mut"
 STATE_11856:0 "Bolkar"
 STATE_11857:0 "Aladag"
 STATE_11858:0 "Feke"
 STATE_11859:0 "Kadirli"
 STATE_11860:0 "Ceyhan"
 STATE_11861:0 "Salihli"
 STATE_11862:0 "Buldan"
 STATE_11863:0 "Shalkar"
 STATE_11864:0 "Zhylyoi"
 STATE_11865:0 "Mangystau"
 STATE_11866:0 "Dashoghuz"
 STATE_11867:0 "Serdar"
 STATE_11868:0 "Kara Kala"
 STATE_11869:0 "Mary"
 STATE_11870:0 "Erbent"
 STATE_11871:0 "Darvaza"
 STATE_11872:0 "Sarygamysh"
 STATE_11873:0 "Karakiya"
 STATE_11874:0 "South Kazakhstan"
 STATE_11875:0 "Alabuka"
 STATE_11876:0 "Karakol"
 STATE_11877:0 "Taraz"
 STATE_11878:0 "Tarbagatay"
 STATE_11879:0 "Kalbatau"
 STATE_11880:0 "Urzhar"
 STATE_11881:0 "Zharkent"
 STATE_11882:0 "Alakol"
 STATE_11883:0 "Saryozek"
